created at,beneficiary,emitter,amount,status
2017-09-27 23:17:18 UTC,Signal Foundation,Cofense,150350,healthy
2017-06-26 08:32:10 UTC,Influenster,Jamf,134204,suspicious
2017-06-12 05:28:22 UTC,Future Mobility,Apptio,16269,suspicious
2017-02-06 18:52:49 UTC,Takeda Pharmaceutical,Concur Technologies,71878,healthy
2018-01-01 17:53:05 UTC,Bitmain,Yoox Net-a-Porter Group,99904,suspicious
2017-12-19 22:47:19 UTC,Poka Inc.,Kakao,45931,healthy
2017-08-28 08:03:11 UTC,Voicera,JW Player,195780,healthy
2017-03-30 07:44:50 UTC,CyberX,Split Software,54047,suspicious
2017-11-04 13:42:24 UTC,Affirm,China Unicom,192914,suspicious
2017-12-10 18:11:47 UTC,Doodhwala,Meituan-Dianping,159271,healthy
2018-02-15 20:49:37 UTC,Prelude Fertility,Signal Foundation,10483,suspicious
2017-04-20 21:47:59 UTC,Kakao,Senti Biosciences,199452,healthy
2017-02-09 23:37:59 UTC,Osmo,DecaWave,180609,healthy
2018-02-08 08:39:44 UTC,Drover,Meituan-Dianping,170854,healthy
2017-10-24 20:37:34 UTC,HQTrivia,Signal,135379,healthy
2018-01-25 04:57:07 UTC,HQTrivia,Coinbase,43469,suspicious
2017-04-25 11:14:32 UTC,Apptio,Puls,134272,suspicious
2017-06-22 22:44:37 UTC,Jive Communications,Intuit,199866,healthy
2017-07-09 09:54:57 UTC,ENGAGE,Sphero,68119,healthy
2017-12-16 02:43:11 UTC,Sea Limited,BigID,151884,healthy
2017-02-05 05:53:02 UTC,Talkspace,Hyperloop Transportation Technologies,47231,suspicious
2017-12-27 15:58:08 UTC,Domo,WuXi AppTec,160574,healthy
2017-06-28 17:24:06 UTC,Voicera,Peel,164692,healthy
2017-05-13 22:40:50 UTC,iQiyi,"Phunware, Inc.",75096,suspicious
2017-04-22 02:54:51 UTC,Pantheon,Doodhwala,107081,healthy
2017-05-08 04:45:39 UTC,HCL Technologies,News Corp.,1072,suspicious
2017-06-20 08:03:45 UTC,Bluecore,Siri,3815,suspicious
2017-09-25 19:47:03 UTC,Zum,FanDuel,80037,healthy
2017-04-16 05:16:58 UTC,Evergage,Payoneer,24573,suspicious
2017-10-29 17:00:37 UTC,Shopify,PharmEasy,124901,healthy
2017-07-05 23:17:26 UTC,Puls,"Phunware, Inc.",52000,suspicious
2017-02-03 22:57:28 UTC,Payoneer,Intuit,140345,healthy
2017-09-05 11:15:20 UTC,TechCrunch,Juicero,37298,suspicious
2017-02-20 03:45:46 UTC,Icertis,DataVisor,142767,healthy
2017-04-03 03:31:27 UTC,Octiv,Cloudflare,183278,healthy
2017-09-09 03:31:10 UTC,Drive.ai,Urban Ladder,196364,suspicious
2018-03-11 02:14:49 UTC,Taulia,Blockchain,61575,healthy
2017-07-16 13:25:32 UTC,Avvo,Ford Motor Company,188315,healthy
2017-03-16 02:02:56 UTC,Namely,Bitt,32022,suspicious
2017-12-15 18:17:48 UTC,EVERFI,Ford Motor Company,154130,healthy
2017-07-09 21:01:33 UTC,BigID,KKR & Co. (Kohlberg Kravis Roberts & Co.),118882,suspicious
2017-09-06 23:20:05 UTC,Bluecore,China Unicom,127362,healthy
2017-04-14 16:09:42 UTC,Leap Motion,"Phunware, Inc.",113790,suspicious
2017-03-14 06:38:15 UTC,Blue Apron,First Solar,157823,suspicious
2017-07-12 09:08:25 UTC,Jive Communications,JW Player,36960,suspicious
2017-07-22 14:46:32 UTC,DecaWave,Quikr,141610,healthy
2017-09-17 00:52:48 UTC,Pantheon,Fair,117944,suspicious
2017-10-12 06:50:44 UTC,TechCrunch,Taulia,147808,suspicious
2017-11-06 19:10:16 UTC,SoundCloud,PharmEasy,175411,healthy
2018-02-09 05:06:38 UTC,Dialpad,HealthCare.com,192503,suspicious
2017-06-24 04:42:30 UTC,FanAI Inc.,Storj Labs,56172,suspicious
2017-05-23 23:27:29 UTC,Sphero,PagerDuty,84147,suspicious
2017-09-09 11:24:22 UTC,Moderna Therapeutics,Knotel,96234,suspicious
2017-06-27 01:19:37 UTC,"Phunware, Inc.",Shipt,38123,suspicious
2017-12-26 15:46:00 UTC,Takeda Pharmaceutical,OneWeb,145365,healthy
2017-07-04 18:58:46 UTC,BitPesa,Quikr,150685,healthy
2017-05-24 17:54:58 UTC,Bench,Namely,128728,healthy
2017-07-12 21:28:03 UTC,Airtable,Bluecore,93619,suspicious
2017-11-02 18:08:57 UTC,Bancor,Bitmain,185452,suspicious
2017-03-20 07:41:40 UTC,Verizon Communications,ServiceNow,197097,suspicious
2017-02-09 20:39:09 UTC,Rani Therapeutics,Nazara Technologies,56309,healthy
2017-08-22 21:30:14 UTC,Peel,SentinelOne,193036,healthy
2017-02-01 20:01:28 UTC,Nazara Technologies,Bench,59405,suspicious
2017-07-20 04:45:13 UTC,Knotel,bitFlyer,132946,healthy
2017-12-17 05:13:08 UTC,Influenster,Bitmain,148288,suspicious
2018-01-09 16:34:29 UTC,zulily,Power Ledger,110852,suspicious
2018-01-26 14:44:50 UTC,Nazara Technologies,Drover,58665,suspicious
2017-03-05 12:44:58 UTC,RedLock,FanDuel,160555,healthy
2017-05-13 04:05:31 UTC,Knotel,Tinyclues,183739,suspicious
2017-02-27 23:33:53 UTC,Domo,Relayr,160999,suspicious
2017-04-21 03:32:00 UTC,Vivino,Distil Networks,175854,healthy
2017-05-27 02:55:53 UTC,Affirm,Personal Capital,131907,suspicious
2017-03-05 03:48:34 UTC,Voicera,Icertis,129904,healthy
2018-03-02 09:19:04 UTC,JW Player,Blue Apron,12547,healthy
2017-09-23 17:37:15 UTC,Jana,BitPesa,153004,suspicious
2017-12-28 05:38:27 UTC,Hotelogix,KKR & Co. (Kohlberg Kravis Roberts & Co.),177536,healthy
2018-02-25 04:55:25 UTC,Poka Inc.,Farfetch,153893,suspicious
2017-07-09 17:03:05 UTC,Propel(X),HubHaus,142726,suspicious
2017-11-24 02:52:33 UTC,Deliveroo,Jiffy,17149,healthy
2017-07-25 06:18:55 UTC,Knotel,IFTTT,189203,suspicious
2018-02-25 11:49:56 UTC,Claire,Shipt,91847,healthy
2017-07-05 06:16:49 UTC,DecaWave,HCL Technologies,22840,suspicious
2017-11-16 20:17:18 UTC,Hotelogix,Zwift,48434,healthy
2017-08-13 11:30:43 UTC,PharmEasy,Dialpad,141863,suspicious
2017-12-17 22:16:41 UTC,CyberX,Tinyclues,22993,healthy
2017-07-31 10:25:30 UTC,Withings,Luminoso,12513,healthy
2017-04-28 19:46:52 UTC,FirstEnergy Corp.,Sea Limited,61312,suspicious
2018-01-06 20:05:10 UTC,AppNexus,Intuit,167269,healthy
2017-06-06 03:25:04 UTC,Prelude Fertility,AWAL,51516,healthy
2017-03-10 07:46:28 UTC,Alibaba,Qihoo 360 Technology,49698,suspicious
2017-09-22 17:07:02 UTC,"DailyPay, Inc.",Seeking Alpha,5891,healthy
2017-02-10 22:52:11 UTC,Poka Inc.,RingCentral,191487,healthy
2017-04-20 19:36:49 UTC,Shipt,Peel,35923,healthy
2017-12-20 14:43:36 UTC,TurnKey Vacation Rentals,Crunchbase,134228,suspicious
2017-03-28 18:42:59 UTC,Verizon Communications,MedGenome Inc.,68728,healthy
2018-02-11 22:54:46 UTC,17zuoye,Bench,159730,suspicious
2017-04-13 03:40:25 UTC,Chef,Vettery,161915,suspicious
2017-06-07 05:39:05 UTC,Payfone,Updater,122437,suspicious
2017-09-16 03:57:07 UTC,Propel(X),Atom Bank,139775,healthy
2017-06-20 23:15:39 UTC,TurnKey Vacation Rentals,Deliveroo,60425,healthy
2017-06-24 18:54:42 UTC,Chef,Kahoot!,151813,suspicious
2017-02-21 00:40:28 UTC,Zum,China Unicom,48895,healthy
2018-01-09 09:10:59 UTC,Pantheon,Octiv,73756,suspicious
